,Production Budget,URL
86,N/A,https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm
87,$40 million,https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm
88,N/A,https://www.boxofficemojo.com/movies/?id=showdogs.htm
89,$24 million,https://www.boxofficemojo.com/movies/?id=operationfinale.htm
90,N/A,https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm
91,N/A,https://www.boxofficemojo.com/movies/?id=rbg.htm
92,$34 million,https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm
93,N/A,https://www.boxofficemojo.com/movies/?id=upgrade.htm
94,N/A,https://www.boxofficemojo.com/movies/?id=themiracleseason.htm
95,N/A,https://www.boxofficemojo.com/movies/?id=tully2018.htm
96,$5.5 million,https://www.boxofficemojo.com/movies/?id=hellfest.htm
97,N/A,https://www.boxofficemojo.com/movies/?id=earlyman.htm
98,N/A,https://www.boxofficemojo.com/movies/?id=sanju.htm
99,N/A,https://www.boxofficemojo.com/movies/?id=thewife.htm
100,N/A,https://www.boxofficemojo.com/movies/?id=starwars8.htm
101,$149 million,https://www.boxofficemojo.com/movies/?id=wonderwoman.htm
102,$200 million,https://www.boxofficemojo.com/movies/?id=marvel17a.htm
103,$35 million,https://www.boxofficemojo.com/movies/?id=it.htm
104,$80 million,https://www.boxofficemojo.com/movies/?id=despicableme3.htm
105,$97 million,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm
106,N/A,https://www.boxofficemojo.com/movies/?id=pixar1117.htm
107,$4.5 million,https://www.boxofficemojo.com/movies/?id=blumhouse2.htm
108,N/A,https://www.boxofficemojo.com/movies/?id=bossbaby.htm
109,$230 million,https://www.boxofficemojo.com/movies/?id=potc5.htm
110,N/A,https://www.boxofficemojo.com/movies/?id=cars3.htm
111,$9 million,https://www.boxofficemojo.com/movies/?id=split2017.htm
112,$217 million,https://www.boxofficemojo.com/movies/?id=transformers5.htm
113,$55 million,https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm
114,$45 million,https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm
115,$55 million,https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm
116,$104 million,https://www.boxofficemojo.com/movies/?id=kingsman2.htm
117,N/A,https://www.boxofficemojo.com/movies/?id=johnwick2.htm
118,$100 million,https://www.boxofficemojo.com/movies/?id=powerrangers16.htm
119,$50 million,https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm
120,$30 million,https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm
121,$38 million,https://www.boxofficemojo.com/movies/?id=captainunderpants.htm
122,$22 million,https://www.boxofficemojo.com/movies/?id=adogspurpose.htm
123,N/A,https://www.boxofficemojo.com/movies/?id=ninjago.htm
124,N/A,https://www.boxofficemojo.com/movies/?id=theshack.htm
125,$4.8 million,https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm
126,$30 million,https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm
127,$60 million,https://www.boxofficemojo.com/movies/?id=darktower.htm
128,$25 million,https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm
129,$150 million,https://www.boxofficemojo.com/movies/?id=greatwall.htm
