,Genre,URL
83,Horror,https://www.boxofficemojo.com/movies/?id=slenderman.htm
84,Thriller,https://www.boxofficemojo.com/movies/?id=searching.htm
85,Horror,https://www.boxofficemojo.com/movies/?id=strangers2.htm
86,Documentary,https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm
87,Comedy,https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm
88,Comedy,https://www.boxofficemojo.com/movies/?id=showdogs.htm
89,Thriller,https://www.boxofficemojo.com/movies/?id=operationfinale.htm
90,Thriller,https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm
91,Documentary,https://www.boxofficemojo.com/movies/?id=rbg.htm
92,Sci-Fi Thriller,https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm
93,Thriller,https://www.boxofficemojo.com/movies/?id=upgrade.htm
94,Drama,https://www.boxofficemojo.com/movies/?id=themiracleseason.htm
95,Comedy,https://www.boxofficemojo.com/movies/?id=tully2018.htm
96,Horror Thriller,https://www.boxofficemojo.com/movies/?id=hellfest.htm
97,Animation,https://www.boxofficemojo.com/movies/?id=earlyman.htm
98,Drama,https://www.boxofficemojo.com/movies/?id=sanju.htm
99,Drama,https://www.boxofficemojo.com/movies/?id=thewife.htm
100,Sci-Fi Fantasy,https://www.boxofficemojo.com/movies/?id=starwars8.htm
101,Action / Adventure,https://www.boxofficemojo.com/movies/?id=wonderwoman.htm
102,Action / Adventure,https://www.boxofficemojo.com/movies/?id=marvel17a.htm
103,Horror,https://www.boxofficemojo.com/movies/?id=it.htm
104,Animation,https://www.boxofficemojo.com/movies/?id=despicableme3.htm
105,Action / Adventure,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm
106,Animation,https://www.boxofficemojo.com/movies/?id=pixar1117.htm
107,Horror,https://www.boxofficemojo.com/movies/?id=blumhouse2.htm
108,Animation,https://www.boxofficemojo.com/movies/?id=bossbaby.htm
109,Period Adventure,https://www.boxofficemojo.com/movies/?id=potc5.htm
110,Animation,https://www.boxofficemojo.com/movies/?id=cars3.htm
111,Horror Thriller,https://www.boxofficemojo.com/movies/?id=split2017.htm
112,Sci-Fi Action,https://www.boxofficemojo.com/movies/?id=transformers5.htm
113,Romance,https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm
114,Comedy,https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm
115,Thriller,https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm
116,Action Comedy,https://www.boxofficemojo.com/movies/?id=kingsman2.htm
117,Action,https://www.boxofficemojo.com/movies/?id=johnwick2.htm
118,Action / Adventure,https://www.boxofficemojo.com/movies/?id=powerrangers16.htm
119,Drama,https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm
120,Action Comedy,https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm
121,Animation,https://www.boxofficemojo.com/movies/?id=captainunderpants.htm
122,Comedy / Drama,https://www.boxofficemojo.com/movies/?id=adogspurpose.htm
123,Animation,https://www.boxofficemojo.com/movies/?id=ninjago.htm
124,Drama,https://www.boxofficemojo.com/movies/?id=theshack.htm
125,Horror,https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm
