,MPAA Rating,URL
89,PG-13,https://www.boxofficemojo.com/movies/?id=operationfinale.htm
90,PG-13,https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm
91,Unrated,https://www.boxofficemojo.com/movies/?id=rbg.htm
92,PG-13,https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm
93,R,https://www.boxofficemojo.com/movies/?id=upgrade.htm
94,PG,https://www.boxofficemojo.com/movies/?id=themiracleseason.htm
95,R,https://www.boxofficemojo.com/movies/?id=tully2018.htm
96,R,https://www.boxofficemojo.com/movies/?id=hellfest.htm
97,PG,https://www.boxofficemojo.com/movies/?id=earlyman.htm
98,Unrated,https://www.boxofficemojo.com/movies/?id=sanju.htm
99,R,https://www.boxofficemojo.com/movies/?id=thewife.htm
100,PG-13,https://www.boxofficemojo.com/movies/?id=starwars8.htm
101,PG-13,https://www.boxofficemojo.com/movies/?id=wonderwoman.htm
102,PG-13,https://www.boxofficemojo.com/movies/?id=marvel17a.htm
103,R,https://www.boxofficemojo.com/movies/?id=it.htm
104,PG,https://www.boxofficemojo.com/movies/?id=despicableme3.htm
105,R,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm
106,PG,https://www.boxofficemojo.com/movies/?id=pixar1117.htm
107,R,https://www.boxofficemojo.com/movies/?id=blumhouse2.htm
108,PG,https://www.boxofficemojo.com/movies/?id=bossbaby.htm
109,PG-13,https://www.boxofficemojo.com/movies/?id=potc5.htm
110,G,https://www.boxofficemojo.com/movies/?id=cars3.htm
111,PG-13,https://www.boxofficemojo.com/movies/?id=split2017.htm
112,PG-13,https://www.boxofficemojo.com/movies/?id=transformers5.htm
113,R,https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm
114,PG-13,https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm
115,PG-13,https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm
116,R,https://www.boxofficemojo.com/movies/?id=kingsman2.htm
117,R,https://www.boxofficemojo.com/movies/?id=johnwick2.htm
118,PG-13,https://www.boxofficemojo.com/movies/?id=powerrangers16.htm
119,PG-13,https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm
120,R,https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm
121,PG,https://www.boxofficemojo.com/movies/?id=captainunderpants.htm
122,PG,https://www.boxofficemojo.com/movies/?id=adogspurpose.htm
123,PG,https://www.boxofficemojo.com/movies/?id=ninjago.htm
124,PG-13,https://www.boxofficemojo.com/movies/?id=theshack.htm
125,PG-13,https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm
126,R,https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm
127,PG-13,https://www.boxofficemojo.com/movies/?id=darktower.htm
128,PG-13,https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm
129,PG-13,https://www.boxofficemojo.com/movies/?id=greatwall.htm
130,PG-13,https://www.boxofficemojo.com/movies/?id=goinginsty2017.htm
131,PG-13,https://www.boxofficemojo.com/movies/?id=xxx3.htm
132,R,https://www.boxofficemojo.com/movies/?id=thebigsick.htm
133,PG,https://www.boxofficemojo.com/movies/?id=thelamb.htm
134,PG-13,https://www.boxofficemojo.com/movies/?id=kingarthur2016.htm
135,R,https://www.boxofficemojo.com/movies/?id=americanassassin.htm
136,PG-13,https://www.boxofficemojo.com/movies/?id=everythingeverything.htm
137,PG-13,https://www.boxofficemojo.com/movies/?id=geostorm.htm
