,Distributor,URL
81,Paramount,https://www.boxofficemojo.com/movies/?id=annihilation.htm
82,STX Entertainment,https://www.boxofficemojo.com/movies/?id=adrift.htm
83,Sony / Screen Gems,https://www.boxofficemojo.com/movies/?id=slenderman.htm
84,Sony / Screen Gems,https://www.boxofficemojo.com/movies/?id=searching.htm
85,Aviron,https://www.boxofficemojo.com/movies/?id=strangers2.htm
86,Focus Features,https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm
87,STX Entertainment,https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm
88,Global Road,https://www.boxofficemojo.com/movies/?id=showdogs.htm
89,MGM,https://www.boxofficemojo.com/movies/?id=operationfinale.htm
90,Entertainment Studios,https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm
91,Magnolia,https://www.boxofficemojo.com/movies/?id=rbg.htm
92,Fox,https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm
93,BH Tilt,https://www.boxofficemojo.com/movies/?id=upgrade.htm
94,Mirror/LD,https://www.boxofficemojo.com/movies/?id=themiracleseason.htm
95,Focus Features,https://www.boxofficemojo.com/movies/?id=tully2018.htm
96,Lionsgate,https://www.boxofficemojo.com/movies/?id=hellfest.htm
97,Lionsgate,https://www.boxofficemojo.com/movies/?id=earlyman.htm
98,FIP,https://www.boxofficemojo.com/movies/?id=sanju.htm
99,Sony Classics,https://www.boxofficemojo.com/movies/?id=thewife.htm
100,Buena Vista,https://www.boxofficemojo.com/movies/?id=starwars8.htm
101,Warner Bros.,https://www.boxofficemojo.com/movies/?id=wonderwoman.htm
102,Buena Vista,https://www.boxofficemojo.com/movies/?id=marvel17a.htm
103,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=it.htm
104,Universal,https://www.boxofficemojo.com/movies/?id=despicableme3.htm
105,Fox,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm
106,Buena Vista,https://www.boxofficemojo.com/movies/?id=pixar1117.htm
107,Universal,https://www.boxofficemojo.com/movies/?id=blumhouse2.htm
108,Fox,https://www.boxofficemojo.com/movies/?id=bossbaby.htm
109,Buena Vista,https://www.boxofficemojo.com/movies/?id=potc5.htm
110,Buena Vista,https://www.boxofficemojo.com/movies/?id=cars3.htm
111,Universal,https://www.boxofficemojo.com/movies/?id=split2017.htm
112,Paramount,https://www.boxofficemojo.com/movies/?id=transformers5.htm
113,Universal,https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm
114,Universal,https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm
115,Fox,https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm
116,Fox,https://www.boxofficemojo.com/movies/?id=kingsman2.htm
117,Lionsgate/Summit,https://www.boxofficemojo.com/movies/?id=johnwick2.htm
118,Lionsgate,https://www.boxofficemojo.com/movies/?id=powerrangers16.htm
119,Fox,https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm
120,Lionsgate/Summit,https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm
121,Fox,https://www.boxofficemojo.com/movies/?id=captainunderpants.htm
122,Universal,https://www.boxofficemojo.com/movies/?id=adogspurpose.htm
123,Warner Bros.,https://www.boxofficemojo.com/movies/?id=ninjago.htm
124,Lionsgate/Summit,https://www.boxofficemojo.com/movies/?id=theshack.htm
125,Universal,https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm
126,Focus Features,https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm
127,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=darktower.htm
128,Lionsgate,https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm
129,Universal,https://www.boxofficemojo.com/movies/?id=greatwall.htm
130,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=goinginsty2017.htm
131,Paramount,https://www.boxofficemojo.com/movies/?id=xxx3.htm
132,Lionsgate,https://www.boxofficemojo.com/movies/?id=thebigsick.htm
133,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=thelamb.htm
134,Warner Bros.,https://www.boxofficemojo.com/movies/?id=kingarthur2016.htm
135,Lionsgate,https://www.boxofficemojo.com/movies/?id=americanassassin.htm
136,Warner Bros.,https://www.boxofficemojo.com/movies/?id=everythingeverything.htm
137,Warner Bros.,https://www.boxofficemojo.com/movies/?id=geostorm.htm
138,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=fistfight.htm
139,Aviron,https://www.boxofficemojo.com/movies/?id=kidnap2015.htm
140,Fox,https://www.boxofficemojo.com/movies/?id=mountainbetweenus.htm
141,Neon,https://www.boxofficemojo.com/movies/?id=itonya.htm
142,STX Entertainment,https://www.boxofficemojo.com/movies/?id=mollysgame.htm
143,Paramount,https://www.boxofficemojo.com/movies/?id=rings.htm
144,Open Road Films,https://www.boxofficemojo.com/movies/?id=homeagain.htm
145,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=thehouse.htm
146,Fox Searchlight,https://www.boxofficemojo.com/movies/?id=gifted.htm
147,STX Entertainment,https://www.boxofficemojo.com/movies/?id=thebyebyeman.htm
148,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=rockthatbody.htm
149,Weinstein Company,https://www.boxofficemojo.com/movies/?id=leap.htm
150,Buena Vista,https://www.boxofficemojo.com/movies/?id=beautyandthebeast2017.htm
151,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=jumanji2016.htm
152,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=spiderman2017.htm
153,Buena Vista,https://www.boxofficemojo.com/movies/?id=marvel2017.htm
154,Warner Bros.,https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm
155,Universal,https://www.boxofficemojo.com/movies/?id=furious8.htm
156,Warner Bros.,https://www.boxofficemojo.com/movies/?id=chrisnolan2017.htm
157,Warner Bros.,https://www.boxofficemojo.com/movies/?id=lego2.htm
158,Fox,https://www.boxofficemojo.com/movies/?id=greatestshowman.htm
159,Warner Bros.,https://www.boxofficemojo.com/movies/?id=legendary2016.htm
160,Fox,https://www.boxofficemojo.com/movies/?id=planetoftheapes16.htm
161,Lionsgate,https://www.boxofficemojo.com/movies/?id=wonder.htm
162,Universal,https://www.boxofficemojo.com/movies/?id=girltrip.htm
163,TriStar,https://www.boxofficemojo.com/movies/?id=babydriver.htm
164,Paramount,https://www.boxofficemojo.com/movies/?id=daddyshome2.htm
165,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=annabelle2.htm
166,Warner Bros.,https://www.boxofficemojo.com/movies/?id=bladerunnersequel.htm
167,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=theemojimovie.htm
168,Fox,https://www.boxofficemojo.com/movies/?id=ferdinand.htm
169,Universal,https://www.boxofficemojo.com/movies/?id=mummy2016.htm
170,Fox,https://www.boxofficemojo.com/movies/?id=alienparadiselost.htm
171,STX Entertainment,https://www.boxofficemojo.com/movies/?id=badmomschristmas.htm
172,Fox Searchlight,https://www.boxofficemojo.com/movies/?id=theshapeofwater.htm
173,Paramount,https://www.boxofficemojo.com/movies/?id=baywatch.htm
174,Focus Features,https://www.boxofficemojo.com/movies/?id=darkesthour2017.htm
175,Fox Searchlight,https://www.boxofficemojo.com/movies/?id=threebillboards.htm
176,Universal,https://www.boxofficemojo.com/movies/?id=mena.htm
177,A24,https://www.boxofficemojo.com/movies/?id=ladybird.htm
178,Fox,https://www.boxofficemojo.com/movies/?id=motherdaughter.htm
179,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=smurfs3.htm
180,Lionsgate/Summit,https://www.boxofficemojo.com/movies/?id=tupac.htm
181,Entertainment Studios,https://www.boxofficemojo.com/movies/?id=47metersdown.htm
182,STX Entertainment,https://www.boxofficemojo.com/movies/?id=valerian.htm
183,Paramount,https://www.boxofficemojo.com/movies/?id=ghostintheshell2017.htm
184,Lionsgate,https://www.boxofficemojo.com/movies/?id=saw2017.htm
185,STX Entertainment,https://www.boxofficemojo.com/movies/?id=theforeigner.htm
186,Weinstein Company,https://www.boxofficemojo.com/movies/?id=windriver.htm
187,Paramount,https://www.boxofficemojo.com/movies/?id=monstertrucks.htm
188,Pantelion,https://www.boxofficemojo.com/movies/?id=howtobealatinlover.htm
189,Sony / Screen Gems,https://www.boxofficemojo.com/movies/?id=underworld5.htm
190,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=life2017.htm
191,Entertainment Studios,https://www.boxofficemojo.com/movies/?id=hostiles.htm
192,Open Road Films,https://www.boxofficemojo.com/movies/?id=nutjob2.htm
193,Bleecker Street,https://www.boxofficemojo.com/movies/?id=loganlucky.htm
194,Sony / Screen Gems,https://www.boxofficemojo.com/movies/?id=residentevil6.htm
195,TriStar,https://www.boxofficemojo.com/movies/?id=allthemoneyintheworld.htm
196,Paramount,https://www.boxofficemojo.com/movies/?id=downsizing.htm
197,Focus Features,https://www.boxofficemojo.com/movies/?id=victoriaandabdul.htm
198,Lionsgate,https://www.boxofficemojo.com/movies/?id=mylittlepony2017.htm
199,A24,https://www.boxofficemojo.com/movies/?id=thedisasterartist.htm
200,Buena Vista,https://www.boxofficemojo.com/movies/?id=starwars2016.htm
201,Buena Vista,https://www.boxofficemojo.com/movies/?id=marvel2016.htm
202,Buena Vista,https://www.boxofficemojo.com/movies/?id=junglebook2015.htm
203,Buena Vista,https://www.boxofficemojo.com/movies/?id=disney2016.htm
204,Warner Bros.,https://www.boxofficemojo.com/movies/?id=dc2016.htm
205,Buena Vista,https://www.boxofficemojo.com/movies/?id=disney1116.htm
206,Buena Vista,https://www.boxofficemojo.com/movies/?id=marvel716.htm
207,Universal,https://www.boxofficemojo.com/movies/?id=bourne5.htm
208,Fox,https://www.boxofficemojo.com/movies/?id=x-men2016.htm
209,Lionsgate/Summit,https://www.boxofficemojo.com/movies/?id=lalaland.htm
210,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=ghostbusters2016.htm
211,Warner Bros.,https://www.boxofficemojo.com/movies/?id=tarzan2016.htm
212,STX Entertainment,https://www.boxofficemojo.com/movies/?id=untitledlucasmoore.htm
213,Fox,https://www.boxofficemojo.com/movies/?id=id42.htm
214,Paramount,https://www.boxofficemojo.com/movies/?id=arrival2016.htm
215,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=sausageparty.htm
216,Universal,https://www.boxofficemojo.com/movies/?id=ridealong2.htm
217,Fox,https://www.boxofficemojo.com/movies/?id=peregrine.htm
218,Paramount,https://www.boxofficemojo.com/movies/?id=tmnt2016.htm
219,Buena Vista,https://www.boxofficemojo.com/movies/?id=alice2.htm
220,Universal,https://www.boxofficemojo.com/movies/?id=thegirlonthetrain2016.htm
221,Warner Bros.,https://www.boxofficemojo.com/movies/?id=storks.htm
222,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=newline0116.htm
223,Lionsgate/Summit,https://www.boxofficemojo.com/movies/?id=allegiant.htm
224,Fox,https://www.boxofficemojo.com/movies/?id=iceage5.htm
225,Focus Features,https://www.boxofficemojo.com/movies/?id=londonhasfallen.htm
226,Lionsgate/Summit,https://www.boxofficemojo.com/movies/?id=deepwaterhorizon.htm
227,Universal,https://www.boxofficemojo.com/movies/?id=mybigfatgreekwedding2.htm
228,Paramount,https://www.boxofficemojo.com/movies/?id=fences.htm
229,Buena Vista,https://www.boxofficemojo.com/movies/?id=bfg.htm
230,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=theshallows.htm
231,Fox,https://www.boxofficemojo.com/movies/?id=assassinscreed.htm
232,Paramount,https://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm
233,Universal,https://www.boxofficemojo.com/movies/?id=huntsman.htm
234,Roadside Attractions,https://www.boxofficemojo.com/movies/?id=manchesterbythesea.htm
235,Warner Bros. (New Line),https://www.boxofficemojo.com/movies/?id=howtobesingle.htm
236,Warner Bros.,https://www.boxofficemojo.com/movies/?id=armsandthedudes.htm
237,TriStar,https://www.boxofficemojo.com/movies/?id=moneymonster.htm
238,Lionsgate,https://www.boxofficemojo.com/movies/?id=nerve.htm
239,Warner Bros.,https://www.boxofficemojo.com/movies/?id=niceguys.htm
240,Lionsgate,https://www.boxofficemojo.com/movies/?id=dirtygrandpa.htm
241,Sony / Columbia,https://www.boxofficemojo.com/movies/?id=5thwave.htm
242,Open Road Films,https://www.boxofficemojo.com/movies/?id=mothersday.htm
243,Lionsgate/Summit,https://www.boxofficemojo.com/movies/?id=godsofegypt.htm
244,Universal,https://www.boxofficemojo.com/movies/?id=hailcaesar.htm
245,Paramount,https://www.boxofficemojo.com/movies/?id=zoolander2.htm
246,Buena Vista,https://www.boxofficemojo.com/movies/?id=finesthours.htm
247,Lionsgate,https://www.boxofficemojo.com/movies/?id=hellorhighwater.htm
248,Paramount,https://www.boxofficemojo.com/movies/?id=benhur2016.htm
249,Universal,https://www.boxofficemojo.com/movies/?id=bridgetjonessbaby.htm
250,Buena Vista,https://www.boxofficemojo.com/movies/?id=pixar2015.htm
