,Release Date,URL
77,"January 12, 2018",https://www.boxofficemojo.com/movies/?id=paddington2.htm
78,"February 9, 2018",https://www.boxofficemojo.com/movies/?id=1517toparis.htm
79,"August 17, 2018",https://www.boxofficemojo.com/movies/?id=sonyeventfilm2017.htm
80,"March 2, 2018",https://www.boxofficemojo.com/movies/?id=deathwish2017.htm
81,"February 23, 2018",https://www.boxofficemojo.com/movies/?id=annihilation.htm
82,"June 1, 2018",https://www.boxofficemojo.com/movies/?id=adrift.htm
83,"August 10, 2018",https://www.boxofficemojo.com/movies/?id=slenderman.htm
84,"August 24, 2018",https://www.boxofficemojo.com/movies/?id=searching.htm
85,"March 9, 2018",https://www.boxofficemojo.com/movies/?id=strangers2.htm
86,"June 8, 2018",https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm
87,"August 24, 2018",https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm
88,"May 18, 2018",https://www.boxofficemojo.com/movies/?id=showdogs.htm
89,"August 29, 2018",https://www.boxofficemojo.com/movies/?id=operationfinale.htm
90,"April 6, 2018",https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm
91,"May 4, 2018",https://www.boxofficemojo.com/movies/?id=rbg.htm
92,"August 3, 2018",https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm
93,"June 1, 2018",https://www.boxofficemojo.com/movies/?id=upgrade.htm
94,"April 6, 2018",https://www.boxofficemojo.com/movies/?id=themiracleseason.htm
95,"May 4, 2018",https://www.boxofficemojo.com/movies/?id=tully2018.htm
96,"September 28, 2018",https://www.boxofficemojo.com/movies/?id=hellfest.htm
97,"February 16, 2018",https://www.boxofficemojo.com/movies/?id=earlyman.htm
98,"June 29, 2018",https://www.boxofficemojo.com/movies/?id=sanju.htm
99,"August 17, 2018",https://www.boxofficemojo.com/movies/?id=thewife.htm
100,"December 15, 2017",https://www.boxofficemojo.com/movies/?id=starwars8.htm
101,"June 2, 2017",https://www.boxofficemojo.com/movies/?id=wonderwoman.htm
102,"May 5, 2017",https://www.boxofficemojo.com/movies/?id=marvel17a.htm
103,"September 8, 2017",https://www.boxofficemojo.com/movies/?id=it.htm
104,"June 30, 2017",https://www.boxofficemojo.com/movies/?id=despicableme3.htm
105,"March 3, 2017",https://www.boxofficemojo.com/movies/?id=wolverine2017.htm
106,"November 22, 2017",https://www.boxofficemojo.com/movies/?id=pixar1117.htm
107,"February 24, 2017",https://www.boxofficemojo.com/movies/?id=blumhouse2.htm
108,"March 31, 2017",https://www.boxofficemojo.com/movies/?id=bossbaby.htm
109,"May 26, 2017",https://www.boxofficemojo.com/movies/?id=potc5.htm
110,"June 16, 2017",https://www.boxofficemojo.com/movies/?id=cars3.htm
111,"January 20, 2017",https://www.boxofficemojo.com/movies/?id=split2017.htm
112,"June 21, 2017",https://www.boxofficemojo.com/movies/?id=transformers5.htm
113,"February 10, 2017",https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm
114,"December 22, 2017",https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm
115,"November 10, 2017",https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm
116,"September 22, 2017",https://www.boxofficemojo.com/movies/?id=kingsman2.htm
117,"February 10, 2017",https://www.boxofficemojo.com/movies/?id=johnwick2.htm
118,"March 24, 2017",https://www.boxofficemojo.com/movies/?id=powerrangers16.htm
119,"December 22, 2017",https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm
120,"August 18, 2017",https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm
121,"June 2, 2017",https://www.boxofficemojo.com/movies/?id=captainunderpants.htm
