,URL,Worldwide
78,https://www.boxofficemojo.com/movies/?id=1517toparis.htm,"$57,050,957"
79,https://www.boxofficemojo.com/movies/?id=sonyeventfilm2017.htm,"$79,271,279"
80,https://www.boxofficemojo.com/movies/?id=deathwish2017.htm,"$34,017,028"
81,https://www.boxofficemojo.com/movies/?id=annihilation.htm,
82,https://www.boxofficemojo.com/movies/?id=adrift.htm,"$57,045,012"
83,https://www.boxofficemojo.com/movies/?id=slenderman.htm,"$49,972,138"
84,https://www.boxofficemojo.com/movies/?id=searching.htm,"$65,151,660"
85,https://www.boxofficemojo.com/movies/?id=strangers2.htm,"$24,586,708"
86,https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm,
87,https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm,"$25,106,452"
88,https://www.boxofficemojo.com/movies/?id=showdogs.htm,"$39,072,102"
89,https://www.boxofficemojo.com/movies/?id=operationfinale.htm,
90,https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm,"$17,986,671"
91,https://www.boxofficemojo.com/movies/?id=rbg.htm,
92,https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm,"$41,002,051"
93,https://www.boxofficemojo.com/movies/?id=upgrade.htm,"$14,316,615"
94,https://www.boxofficemojo.com/movies/?id=themiracleseason.htm,
95,https://www.boxofficemojo.com/movies/?id=tully2018.htm,"$15,554,157"
96,https://www.boxofficemojo.com/movies/?id=hellfest.htm,"$9,544,795"
97,https://www.boxofficemojo.com/movies/?id=earlyman.htm,"$54,114,015"
98,https://www.boxofficemojo.com/movies/?id=sanju.htm,"$71,535,130"
99,https://www.boxofficemojo.com/movies/?id=thewife.htm,
100,https://www.boxofficemojo.com/movies/?id=starwars8.htm,"$1,332,539,889"
101,https://www.boxofficemojo.com/movies/?id=wonderwoman.htm,"$821,847,012"
102,https://www.boxofficemojo.com/movies/?id=marvel17a.htm,"$863,756,051"
103,https://www.boxofficemojo.com/movies/?id=it.htm,"$700,381,748"
104,https://www.boxofficemojo.com/movies/?id=despicableme3.htm,"$1,034,799,409"
105,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm,"$619,021,436"
106,https://www.boxofficemojo.com/movies/?id=pixar1117.htm,"$807,082,196"
107,https://www.boxofficemojo.com/movies/?id=blumhouse2.htm,"$255,457,364"
108,https://www.boxofficemojo.com/movies/?id=bossbaby.htm,"$527,965,936"
109,https://www.boxofficemojo.com/movies/?id=potc5.htm,"$794,861,794"
110,https://www.boxofficemojo.com/movies/?id=cars3.htm,"$383,930,656"
111,https://www.boxofficemojo.com/movies/?id=split2017.htm,"$278,454,358"
112,https://www.boxofficemojo.com/movies/?id=transformers5.htm,"$605,425,157"
113,https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm,"$376,967,096"
114,https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm,"$184,724,494"
115,https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm,"$352,789,811"
116,https://www.boxofficemojo.com/movies/?id=kingsman2.htm,"$410,902,662"
117,https://www.boxofficemojo.com/movies/?id=johnwick2.htm,"$171,539,887"
118,https://www.boxofficemojo.com/movies/?id=powerrangers16.htm,"$142,337,240"
119,https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm,"$179,769,457"
120,https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm,"$176,586,701"
121,https://www.boxofficemojo.com/movies/?id=captainunderpants.htm,"$125,506,758"
122,https://www.boxofficemojo.com/movies/?id=adogspurpose.htm,"$204,052,467"
123,https://www.boxofficemojo.com/movies/?id=ninjago.htm,"$123,081,555"
124,https://www.boxofficemojo.com/movies/?id=theshack.htm,"$96,942,115"
125,https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm,"$122,637,878"
126,https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm,"$100,014,025"
127,https://www.boxofficemojo.com/movies/?id=darktower.htm,"$113,231,078"
128,https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm,"$48,333,932"
129,https://www.boxofficemojo.com/movies/?id=greatwall.htm,"$334,933,831"
130,https://www.boxofficemojo.com/movies/?id=goinginsty2017.htm,"$84,918,541"
131,https://www.boxofficemojo.com/movies/?id=xxx3.htm,"$346,147,658"
132,https://www.boxofficemojo.com/movies/?id=thebigsick.htm,"$56,411,585"
133,https://www.boxofficemojo.com/movies/?id=thelamb.htm,"$62,812,974"
