,Opening Weekend Gross,URL
79,"$10,352,512",https://www.boxofficemojo.com/movies/?id=sonyeventfilm2017.htm
80,"$13,010,267",https://www.boxofficemojo.com/movies/?id=deathwish2017.htm
81,"$11,071,584",https://www.boxofficemojo.com/movies/?id=annihilation.htm
82,"$11,603,039",https://www.boxofficemojo.com/movies/?id=adrift.htm
83,"$11,371,866",https://www.boxofficemojo.com/movies/?id=slenderman.htm
84,,https://www.boxofficemojo.com/movies/?id=searching.htm
85,"$10,402,271",https://www.boxofficemojo.com/movies/?id=strangers2.htm
86,,https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm
87,"$9,532,425",https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm
88,"$6,023,972",https://www.boxofficemojo.com/movies/?id=showdogs.htm
89,"$6,022,758",https://www.boxofficemojo.com/movies/?id=operationfinale.htm
90,"$5,765,854",https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm
91,"$578,470",https://www.boxofficemojo.com/movies/?id=rbg.htm
92,"$5,842,609",https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm
93,"$4,670,905",https://www.boxofficemojo.com/movies/?id=upgrade.htm
94,"$3,950,652",https://www.boxofficemojo.com/movies/?id=themiracleseason.htm
95,"$3,282,610",https://www.boxofficemojo.com/movies/?id=tully2018.htm
96,"$5,130,963",https://www.boxofficemojo.com/movies/?id=hellfest.htm
97,"$3,190,525",https://www.boxofficemojo.com/movies/?id=earlyman.htm
98,"$2,723,349",https://www.boxofficemojo.com/movies/?id=sanju.htm
99,"$108,284",https://www.boxofficemojo.com/movies/?id=thewife.htm
100,"$220,009,584",https://www.boxofficemojo.com/movies/?id=starwars8.htm
101,"$103,251,471",https://www.boxofficemojo.com/movies/?id=wonderwoman.htm
102,"$146,510,104",https://www.boxofficemojo.com/movies/?id=marvel17a.htm
103,"$123,403,419",https://www.boxofficemojo.com/movies/?id=it.htm
104,"$72,434,025",https://www.boxofficemojo.com/movies/?id=despicableme3.htm
105,"$88,411,916",https://www.boxofficemojo.com/movies/?id=wolverine2017.htm
106,"$50,802,605",https://www.boxofficemojo.com/movies/?id=pixar1117.htm
107,"$33,377,060",https://www.boxofficemojo.com/movies/?id=blumhouse2.htm
108,"$50,198,902",https://www.boxofficemojo.com/movies/?id=bossbaby.htm
109,"$62,983,253",https://www.boxofficemojo.com/movies/?id=potc5.htm
110,"$53,688,680",https://www.boxofficemojo.com/movies/?id=cars3.htm
111,"$40,010,975",https://www.boxofficemojo.com/movies/?id=split2017.htm
112,"$44,680,073",https://www.boxofficemojo.com/movies/?id=transformers5.htm
113,"$46,607,250",https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm
114,"$19,928,525",https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm
115,"$28,681,472",https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm
116,"$39,023,010",https://www.boxofficemojo.com/movies/?id=kingsman2.htm
117,"$30,436,123",https://www.boxofficemojo.com/movies/?id=johnwick2.htm
118,"$40,300,288",https://www.boxofficemojo.com/movies/?id=powerrangers16.htm
119,,https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm
120,"$21,384,504",https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm
121,"$23,851,539",https://www.boxofficemojo.com/movies/?id=captainunderpants.htm
122,"$18,222,810",https://www.boxofficemojo.com/movies/?id=adogspurpose.htm
123,"$20,433,071",https://www.boxofficemojo.com/movies/?id=ninjago.htm
124,"$16,172,119",https://www.boxofficemojo.com/movies/?id=theshack.htm
125,"$26,039,025",https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm
126,"$18,286,420",https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm
127,"$19,153,698",https://www.boxofficemojo.com/movies/?id=darktower.htm
128,"$21,226,953",https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm
129,"$18,469,620",https://www.boxofficemojo.com/movies/?id=greatwall.htm
130,"$11,932,330",https://www.boxofficemojo.com/movies/?id=goinginsty2017.htm
131,"$20,130,142",https://www.boxofficemojo.com/movies/?id=xxx3.htm
132,,https://www.boxofficemojo.com/movies/?id=thebigsick.htm
133,"$9,812,674",https://www.boxofficemojo.com/movies/?id=thelamb.htm
134,"$15,371,270",https://www.boxofficemojo.com/movies/?id=kingarthur2016.htm
135,"$14,846,778",https://www.boxofficemojo.com/movies/?id=americanassassin.htm
136,"$11,727,390",https://www.boxofficemojo.com/movies/?id=everythingeverything.htm
137,"$13,707,376",https://www.boxofficemojo.com/movies/?id=geostorm.htm
138,"$12,201,873",https://www.boxofficemojo.com/movies/?id=fistfight.htm
139,"$10,016,323",https://www.boxofficemojo.com/movies/?id=kidnap2015.htm
140,"$10,551,336",https://www.boxofficemojo.com/movies/?id=mountainbetweenus.htm
141,,https://www.boxofficemojo.com/movies/?id=itonya.htm
142,,https://www.boxofficemojo.com/movies/?id=mollysgame.htm
143,"$13,002,632",https://www.boxofficemojo.com/movies/?id=rings.htm
144,"$8,567,881",https://www.boxofficemojo.com/movies/?id=homeagain.htm
145,"$8,724,795",https://www.boxofficemojo.com/movies/?id=thehouse.htm
146,,https://www.boxofficemojo.com/movies/?id=gifted.htm
147,"$13,501,349",https://www.boxofficemojo.com/movies/?id=thebyebyeman.htm
148,"$8,004,283",https://www.boxofficemojo.com/movies/?id=rockthatbody.htm
149,"$4,730,038",https://www.boxofficemojo.com/movies/?id=leap.htm
150,"$174,750,616",https://www.boxofficemojo.com/movies/?id=beautyandthebeast2017.htm
151,"$36,169,328",https://www.boxofficemojo.com/movies/?id=jumanji2016.htm
152,"$117,027,503",https://www.boxofficemojo.com/movies/?id=spiderman2017.htm
153,"$122,744,989",https://www.boxofficemojo.com/movies/?id=marvel2017.htm
154,"$93,842,239",https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm
155,"$98,786,705",https://www.boxofficemojo.com/movies/?id=furious8.htm
156,"$50,513,488",https://www.boxofficemojo.com/movies/?id=chrisnolan2017.htm
157,"$53,003,468",https://www.boxofficemojo.com/movies/?id=lego2.htm
158,"$8,805,843",https://www.boxofficemojo.com/movies/?id=greatestshowman.htm
159,"$61,025,472",https://www.boxofficemojo.com/movies/?id=legendary2016.htm
160,"$56,262,929",https://www.boxofficemojo.com/movies/?id=planetoftheapes16.htm
161,"$27,547,866",https://www.boxofficemojo.com/movies/?id=wonder.htm
162,"$31,201,920",https://www.boxofficemojo.com/movies/?id=girltrip.htm
163,"$20,553,320",https://www.boxofficemojo.com/movies/?id=babydriver.htm
164,"$29,651,193",https://www.boxofficemojo.com/movies/?id=daddyshome2.htm
165,"$35,006,404",https://www.boxofficemojo.com/movies/?id=annabelle2.htm
166,"$32,753,122",https://www.boxofficemojo.com/movies/?id=bladerunnersequel.htm
167,"$24,531,923",https://www.boxofficemojo.com/movies/?id=theemojimovie.htm
168,"$13,401,586",https://www.boxofficemojo.com/movies/?id=ferdinand.htm
169,"$31,688,375",https://www.boxofficemojo.com/movies/?id=mummy2016.htm
170,"$36,160,621",https://www.boxofficemojo.com/movies/?id=alienparadiselost.htm
171,"$16,759,161",https://www.boxofficemojo.com/movies/?id=badmomschristmas.htm
172,,https://www.boxofficemojo.com/movies/?id=theshapeofwater.htm
173,"$18,503,871",https://www.boxofficemojo.com/movies/?id=baywatch.htm
174,,https://www.boxofficemojo.com/movies/?id=darkesthour2017.htm
175,,https://www.boxofficemojo.com/movies/?id=threebillboards.htm
176,"$16,776,390",https://www.boxofficemojo.com/movies/?id=mena.htm
177,,https://www.boxofficemojo.com/movies/?id=ladybird.htm
178,"$19,542,248",https://www.boxofficemojo.com/movies/?id=motherdaughter.htm
179,"$13,210,449",https://www.boxofficemojo.com/movies/?id=smurfs3.htm
180,"$26,435,354",https://www.boxofficemojo.com/movies/?id=tupac.htm
181,"$11,205,561",https://www.boxofficemojo.com/movies/?id=47metersdown.htm
182,"$17,007,624",https://www.boxofficemojo.com/movies/?id=valerian.htm
183,"$18,676,033",https://www.boxofficemojo.com/movies/?id=ghostintheshell2017.htm
184,"$16,640,452",https://www.boxofficemojo.com/movies/?id=saw2017.htm
185,"$13,113,024",https://www.boxofficemojo.com/movies/?id=theforeigner.htm
186,,https://www.boxofficemojo.com/movies/?id=windriver.htm
187,"$10,950,705",https://www.boxofficemojo.com/movies/?id=monstertrucks.htm
188,"$12,252,439",https://www.boxofficemojo.com/movies/?id=howtobealatinlover.htm
189,"$13,688,751",https://www.boxofficemojo.com/movies/?id=underworld5.htm
190,"$12,501,936",https://www.boxofficemojo.com/movies/?id=life2017.htm
191,,https://www.boxofficemojo.com/movies/?id=hostiles.htm
192,"$8,342,311",https://www.boxofficemojo.com/movies/?id=nutjob2.htm
193,"$7,600,036",https://www.boxofficemojo.com/movies/?id=loganlucky.htm
194,"$13,601,682",https://www.boxofficemojo.com/movies/?id=residentevil6.htm
195,"$5,584,684",https://www.boxofficemojo.com/movies/?id=allthemoneyintheworld.htm
196,"$4,954,287",https://www.boxofficemojo.com/movies/?id=downsizing.htm
197,,https://www.boxofficemojo.com/movies/?id=victoriaandabdul.htm
198,"$8,885,899",https://www.boxofficemojo.com/movies/?id=mylittlepony2017.htm
199,,https://www.boxofficemojo.com/movies/?id=thedisasterartist.htm
