,Genres,URL
78,[],https://www.boxofficemojo.com/movies/?id=1517toparis.htm
79,[],https://www.boxofficemojo.com/movies/?id=sonyeventfilm2017.htm
80,[],https://www.boxofficemojo.com/movies/?id=deathwish2017.htm
81,[],https://www.boxofficemojo.com/movies/?id=annihilation.htm
82,[],https://www.boxofficemojo.com/movies/?id=adrift.htm
83,[],https://www.boxofficemojo.com/movies/?id=slenderman.htm
84,['Sundance 2018'],https://www.boxofficemojo.com/movies/?id=searching.htm
85,['Series: Strangers'],https://www.boxofficemojo.com/movies/?id=strangers2.htm
86,['Sundance 2018'],https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm
87,[],https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm
88,[],https://www.boxofficemojo.com/movies/?id=showdogs.htm
89,[],https://www.boxofficemojo.com/movies/?id=operationfinale.htm
90,[],https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm
91,"['Documentary - Political', 'Sundance 2018']",https://www.boxofficemojo.com/movies/?id=rbg.htm
92,[],https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm
93,[],https://www.boxofficemojo.com/movies/?id=upgrade.htm
94,[],https://www.boxofficemojo.com/movies/?id=themiracleseason.htm
95,[],https://www.boxofficemojo.com/movies/?id=tully2018.htm
96,[],https://www.boxofficemojo.com/movies/?id=hellfest.htm
97,[],https://www.boxofficemojo.com/movies/?id=earlyman.htm
98,[],https://www.boxofficemojo.com/movies/?id=sanju.htm
99,[],https://www.boxofficemojo.com/movies/?id=thewife.htm
100,['Nominated for Four Oscars.'],https://www.boxofficemojo.com/movies/?id=starwars8.htm
101,"['Action Heroine', 'Comic Book Adaptation', 'Superhero', 'Superhero - Origin', 'War - World War I']",https://www.boxofficemojo.com/movies/?id=wonderwoman.htm
102,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=marvel17a.htm
103,"['Horror - R-Rated', 'Horror - Supernatural']",https://www.boxofficemojo.com/movies/?id=it.htm
104,[],https://www.boxofficemojo.com/movies/?id=despicableme3.htm
105,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=wolverine2017.htm
106,"['Nominated for Two Oscars, Including Two Wins.']",https://www.boxofficemojo.com/movies/?id=pixar1117.htm
107,"['Nominated for Four Oscars, Including One Win.']",https://www.boxofficemojo.com/movies/?id=blumhouse2.htm
108,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=bossbaby.htm
109,"['Pirate', 'Swashbuckler']",https://www.boxofficemojo.com/movies/?id=potc5.htm
110,['Car Racing'],https://www.boxofficemojo.com/movies/?id=cars3.htm
111,"['Series: Unbreakable', 'Brand: Blumhouse Productions', ""Showdown: 'A Quiet Place' Challengers"", ""Showdown: 'Split' vs. Similar Openers""]",https://www.boxofficemojo.com/movies/?id=split2017.htm
112,['Toy Adaptation'],https://www.boxofficemojo.com/movies/?id=transformers5.htm
113,[],https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm
114,['Comedy - Music'],https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm
115,['Series: Agatha Christie'],https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm
116,[],https://www.boxofficemojo.com/movies/?id=kingsman2.htm
117,[],https://www.boxofficemojo.com/movies/?id=johnwick2.htm
118,[],https://www.boxofficemojo.com/movies/?id=powerrangers16.htm
119,['Nominated for Two Oscars.'],https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm
120,[],https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm
121,[],https://www.boxofficemojo.com/movies/?id=captainunderpants.htm
122,[],https://www.boxofficemojo.com/movies/?id=adogspurpose.htm
123,[],https://www.boxofficemojo.com/movies/?id=ninjago.htm
124,[],https://www.boxofficemojo.com/movies/?id=theshack.htm
125,"['Series: Happy Death Day', 'Showdown: Happy Death Day vs. The Visit']",https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm
126,[],https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm
127,[],https://www.boxofficemojo.com/movies/?id=darktower.htm
128,[],https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm
129,[],https://www.boxofficemojo.com/movies/?id=greatwall.htm
130,[],https://www.boxofficemojo.com/movies/?id=goinginsty2017.htm
131,[],https://www.boxofficemojo.com/movies/?id=xxx3.htm
132,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=thebigsick.htm
133,[],https://www.boxofficemojo.com/movies/?id=thelamb.htm
134,['Medieval Times'],https://www.boxofficemojo.com/movies/?id=kingarthur2016.htm
135,[],https://www.boxofficemojo.com/movies/?id=americanassassin.htm
136,[],https://www.boxofficemojo.com/movies/?id=everythingeverything.htm
137,[],https://www.boxofficemojo.com/movies/?id=geostorm.htm
