,Domestic,URL
79,"$35,546,134",https://www.boxofficemojo.com/movies/?id=sonyeventfilm2017.htm
80,"$34,017,028",https://www.boxofficemojo.com/movies/?id=deathwish2017.htm
81,"$32,732,301",https://www.boxofficemojo.com/movies/?id=annihilation.htm
82,"$31,445,012",https://www.boxofficemojo.com/movies/?id=adrift.htm
83,"$30,445,487",https://www.boxofficemojo.com/movies/?id=slenderman.htm
84,"$25,651,660",https://www.boxofficemojo.com/movies/?id=searching.htm
85,"$24,586,708",https://www.boxofficemojo.com/movies/?id=strangers2.htm
86,"$22,609,437",https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm
87,"$20,706,452",https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm
88,"$17,856,723",https://www.boxofficemojo.com/movies/?id=showdogs.htm
89,"$17,547,664",https://www.boxofficemojo.com/movies/?id=operationfinale.htm
90,"$17,395,520",https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm
91,"$14,013,519",https://www.boxofficemojo.com/movies/?id=rbg.htm
92,"$12,692,287",https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm
93,"$11,916,615",https://www.boxofficemojo.com/movies/?id=upgrade.htm
94,"$10,230,620",https://www.boxofficemojo.com/movies/?id=themiracleseason.htm
95,"$9,334,930",https://www.boxofficemojo.com/movies/?id=tully2018.htm
96,"$8,864,476",https://www.boxofficemojo.com/movies/?id=hellfest.htm
97,"$8,267,544",https://www.boxofficemojo.com/movies/?id=earlyman.htm
98,"$7,909,317",https://www.boxofficemojo.com/movies/?id=sanju.htm
99,"$6,809,916",https://www.boxofficemojo.com/movies/?id=thewife.htm
100,"$620,181,382",https://www.boxofficemojo.com/movies/?id=starwars8.htm
101,"$412,563,408",https://www.boxofficemojo.com/movies/?id=wonderwoman.htm
102,"$389,813,101",https://www.boxofficemojo.com/movies/?id=marvel17a.htm
103,"$327,481,748",https://www.boxofficemojo.com/movies/?id=it.htm
104,"$264,624,300",https://www.boxofficemojo.com/movies/?id=despicableme3.htm
105,"$226,277,068",https://www.boxofficemojo.com/movies/?id=wolverine2017.htm
106,"$209,726,015",https://www.boxofficemojo.com/movies/?id=pixar1117.htm
107,"$176,040,665",https://www.boxofficemojo.com/movies/?id=blumhouse2.htm
108,"$175,003,033",https://www.boxofficemojo.com/movies/?id=bossbaby.htm
109,"$172,558,876",https://www.boxofficemojo.com/movies/?id=potc5.htm
110,"$152,901,115",https://www.boxofficemojo.com/movies/?id=cars3.htm
111,"$138,291,365",https://www.boxofficemojo.com/movies/?id=split2017.htm
112,"$130,168,683",https://www.boxofficemojo.com/movies/?id=transformers5.htm
113,"$114,581,250",https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm
114,"$104,897,530",https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm
115,"$102,826,543",https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm
116,"$100,234,838",https://www.boxofficemojo.com/movies/?id=kingsman2.htm
117,"$92,029,184",https://www.boxofficemojo.com/movies/?id=johnwick2.htm
118,"$85,364,450",https://www.boxofficemojo.com/movies/?id=powerrangers16.htm
119,"$81,903,458",https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm
120,"$75,468,583",https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm
121,"$73,921,000",https://www.boxofficemojo.com/movies/?id=captainunderpants.htm
122,"$64,508,620",https://www.boxofficemojo.com/movies/?id=adogspurpose.htm
123,"$59,281,555",https://www.boxofficemojo.com/movies/?id=ninjago.htm
124,"$57,386,418",https://www.boxofficemojo.com/movies/?id=theshack.htm
125,"$55,683,845",https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm
126,"$51,687,870",https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm
127,"$50,701,325",https://www.boxofficemojo.com/movies/?id=darktower.htm
128,"$47,319,572",https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm
129,"$45,540,830",https://www.boxofficemojo.com/movies/?id=greatwall.htm
130,"$45,018,541",https://www.boxofficemojo.com/movies/?id=goinginsty2017.htm
131,"$44,898,413",https://www.boxofficemojo.com/movies/?id=xxx3.htm
132,"$42,873,127",https://www.boxofficemojo.com/movies/?id=thebigsick.htm
133,"$40,852,824",https://www.boxofficemojo.com/movies/?id=thelamb.htm
134,"$39,175,066",https://www.boxofficemojo.com/movies/?id=kingarthur2016.htm
135,"$36,249,674",https://www.boxofficemojo.com/movies/?id=americanassassin.htm
136,"$34,121,140",https://www.boxofficemojo.com/movies/?id=everythingeverything.htm
