,URL,Widest Theaters
75,https://www.boxofficemojo.com/movies/?id=astarisborn2018.htm,"3,686 theaters"
76,https://www.boxofficemojo.com/movies/?id=truthordare2017.htm,"3,068 theaters"
77,https://www.boxofficemojo.com/movies/?id=paddington2.htm,"3,702 theaters"
78,https://www.boxofficemojo.com/movies/?id=1517toparis.htm,"3,042 theaters"
79,https://www.boxofficemojo.com/movies/?id=sonyeventfilm2017.htm,"2,881 theaters"
80,https://www.boxofficemojo.com/movies/?id=deathwish2017.htm,"2,882 theaters"
81,https://www.boxofficemojo.com/movies/?id=annihilation.htm,"2,112 theaters"
82,https://www.boxofficemojo.com/movies/?id=adrift.htm,"3,015 theaters"
83,https://www.boxofficemojo.com/movies/?id=slenderman.htm,"2,358 theaters"
84,https://www.boxofficemojo.com/movies/?id=searching.htm,"$388,769"
85,https://www.boxofficemojo.com/movies/?id=strangers2.htm,"2,464 theaters"
86,https://www.boxofficemojo.com/movies/?id=bemyneighbor.htm,"$475,419"
87,https://www.boxofficemojo.com/movies/?id=thehappytimemurders.htm,"3,256 theaters"
88,https://www.boxofficemojo.com/movies/?id=showdogs.htm,"3,212 theaters"
89,https://www.boxofficemojo.com/movies/?id=operationfinale.htm,"1,818 theaters"
90,https://www.boxofficemojo.com/movies/?id=chappaquiddick.htm,"1,645 theaters"
91,https://www.boxofficemojo.com/movies/?id=rbg.htm,432 theaters
92,https://www.boxofficemojo.com/movies/?id=thedarkestminds.htm,"3,127 theaters"
93,https://www.boxofficemojo.com/movies/?id=upgrade.htm,"1,458 theaters"
94,https://www.boxofficemojo.com/movies/?id=themiracleseason.htm,"1,707 theaters"
95,https://www.boxofficemojo.com/movies/?id=tully2018.htm,"1,356 theaters"
96,https://www.boxofficemojo.com/movies/?id=hellfest.htm,"2,297 theaters"
97,https://www.boxofficemojo.com/movies/?id=earlyman.htm,"2,494 theaters"
98,https://www.boxofficemojo.com/movies/?id=sanju.htm,359 theaters
99,https://www.boxofficemojo.com/movies/?id=thewife.htm,541 theaters
100,https://www.boxofficemojo.com/movies/?id=starwars8.htm,"4,232 theaters"
101,https://www.boxofficemojo.com/movies/?id=wonderwoman.htm,"4,165 theaters"
102,https://www.boxofficemojo.com/movies/?id=marvel17a.htm,"4,347 theaters"
103,https://www.boxofficemojo.com/movies/?id=it.htm,"4,148 theaters"
104,https://www.boxofficemojo.com/movies/?id=despicableme3.htm,"4,535 theaters"
105,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm,"4,071 theaters"
106,https://www.boxofficemojo.com/movies/?id=pixar1117.htm,"3,987 theaters"
107,https://www.boxofficemojo.com/movies/?id=blumhouse2.htm,"3,143 theaters"
108,https://www.boxofficemojo.com/movies/?id=bossbaby.htm,"3,829 theaters"
109,https://www.boxofficemojo.com/movies/?id=potc5.htm,"4,276 theaters"
110,https://www.boxofficemojo.com/movies/?id=cars3.htm,"4,256 theaters"
111,https://www.boxofficemojo.com/movies/?id=split2017.htm,"3,373 theaters"
112,https://www.boxofficemojo.com/movies/?id=transformers5.htm,"4,132 theaters"
113,https://www.boxofficemojo.com/movies/?id=fiftyshadesdarker.htm,"3,714 theaters"
114,https://www.boxofficemojo.com/movies/?id=pitchperfect3.htm,"3,468 theaters"
115,https://www.boxofficemojo.com/movies/?id=murderorientexpress17.htm,"3,354 theaters"
116,https://www.boxofficemojo.com/movies/?id=kingsman2.htm,"4,038 theaters"
117,https://www.boxofficemojo.com/movies/?id=johnwick2.htm,"3,113 theaters"
118,https://www.boxofficemojo.com/movies/?id=powerrangers16.htm,"3,693 theaters"
119,https://www.boxofficemojo.com/movies/?id=untitledstevenspielberg.htm,"$526,011"
120,https://www.boxofficemojo.com/movies/?id=hitmansbodyguard.htm,"3,377 theaters"
121,https://www.boxofficemojo.com/movies/?id=captainunderpants.htm,"3,529 theaters"
122,https://www.boxofficemojo.com/movies/?id=adogspurpose.htm,"3,178 theaters"
123,https://www.boxofficemojo.com/movies/?id=ninjago.htm,"4,047 theaters"
124,https://www.boxofficemojo.com/movies/?id=theshack.htm,"2,888 theaters"
125,https://www.boxofficemojo.com/movies/?id=blumhousehorror2018.htm,"3,535 theaters"
126,https://www.boxofficemojo.com/movies/?id=thecoldestcity.htm,"3,326 theaters"
127,https://www.boxofficemojo.com/movies/?id=darktower.htm,"3,451 theaters"
128,https://www.boxofficemojo.com/movies/?id=amadeahalloween2.htm,"2,388 theaters"
129,https://www.boxofficemojo.com/movies/?id=greatwall.htm,"3,328 theaters"
130,https://www.boxofficemojo.com/movies/?id=goinginsty2017.htm,"3,076 theaters"
131,https://www.boxofficemojo.com/movies/?id=xxx3.htm,"3,651 theaters"
132,https://www.boxofficemojo.com/movies/?id=thebigsick.htm,"$421,577"
133,https://www.boxofficemojo.com/movies/?id=thelamb.htm,"2,976 theaters"
134,https://www.boxofficemojo.com/movies/?id=kingarthur2016.htm,"3,702 theaters"
135,https://www.boxofficemojo.com/movies/?id=americanassassin.htm,"3,154 theaters"
136,https://www.boxofficemojo.com/movies/?id=everythingeverything.htm,"2,801 theaters"
137,https://www.boxofficemojo.com/movies/?id=geostorm.htm,"3,246 theaters"
138,https://www.boxofficemojo.com/movies/?id=fistfight.htm,"3,185 theaters"
139,https://www.boxofficemojo.com/movies/?id=kidnap2015.htm,"2,418 theaters"
140,https://www.boxofficemojo.com/movies/?id=mountainbetweenus.htm,"3,259 theaters"
141,https://www.boxofficemojo.com/movies/?id=itonya.htm,"$264,155"
142,https://www.boxofficemojo.com/movies/?id=mollysgame.htm,"$2,349,967"
143,https://www.boxofficemojo.com/movies/?id=rings.htm,"2,931 theaters"
144,https://www.boxofficemojo.com/movies/?id=homeagain.htm,"3,036 theaters"
145,https://www.boxofficemojo.com/movies/?id=thehouse.htm,"3,134 theaters"
146,https://www.boxofficemojo.com/movies/?id=gifted.htm,"$446,380"
147,https://www.boxofficemojo.com/movies/?id=thebyebyeman.htm,"2,220 theaters"
148,https://www.boxofficemojo.com/movies/?id=rockthatbody.htm,"3,162 theaters"
149,https://www.boxofficemojo.com/movies/?id=leap.htm,"2,705 theaters"
150,https://www.boxofficemojo.com/movies/?id=beautyandthebeast2017.htm,"4,210 theaters"
151,https://www.boxofficemojo.com/movies/?id=jumanji2016.htm,"3,849 theaters"
152,https://www.boxofficemojo.com/movies/?id=spiderman2017.htm,"4,348 theaters"
153,https://www.boxofficemojo.com/movies/?id=marvel2017.htm,"4,080 theaters"
154,https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm,"4,051 theaters"
155,https://www.boxofficemojo.com/movies/?id=furious8.htm,"4,329 theaters"
156,https://www.boxofficemojo.com/movies/?id=chrisnolan2017.htm,"4,014 theaters"
